***** 10000
BST Inserting 10000, traversed counter is 0
BST Inserting 9792, traversed counter is 208
AVL Inserting 9792, traversed counter is 11
BST Inserting 9791, traversed counter is 209
AVL Inserting 9791, traversed counter is 17
BST Inserting 9790, traversed counter is 210
AVL Inserting 9790, traversed counter is 11
BST Inserting 9789, traversed counter is 211
AVL Inserting 9789, traversed counter is 30
BST Inserting 9788, traversed counter is 212
AVL Inserting 9788, traversed counter is 11
BST Inserting 9787, traversed counter is 213
AVL Inserting 9787, traversed counter is 17
BST Inserting 9786, traversed counter is 214
AVL Inserting 9786, traversed counter is 11
BST Inserting 9785, traversed counter is 215
AVL Inserting 9785, traversed counter is 57
BST Inserting 9784, traversed counter is 216
AVL Inserting 9784, traversed counter is 11
BST Inserting 9783, traversed counter is 217
AVL Inserting 9783, traversed counter is 17
BST Inserting 9782, traversed counter is 218
AVL Inserting 9782, traversed counter is 11
BST Inserting 9781, traversed counter is 219
AVL Inserting 9781, traversed counter is 30
BST Inserting 9780, traversed counter is 220
AVL Inserting 9780, traversed counter is 11
BST Inserting 9779, traversed counter is 221
AVL Inserting 9779, traversed counter is 17
BST Inserting 9778, traversed counter is 222
AVL Inserting 9778, traversed counter is 11
BST Inserting 9777, traversed counter is 223
AVL Inserting 9777, traversed counter is 223
BST Inserting 9776, traversed counter is 224
AVL Inserting 9776, traversed counter is 11
BST Inserting 9775, traversed counter is 225
AVL Inserting 9775, traversed counter is 17
BST Inserting 9774, traversed counter is 226
AVL Inserting 9774, traversed counter is 11
BST Inserting 9773, traversed counter is 227
AVL Inserting 9773, traversed counter is 30
BST Inserting 9772, traversed counter is 228
AVL Inserting 9772, traversed counter is 11
BST Inserting 9771, traversed counter is 229
AVL Inserting 9771, traversed counter is 17
BST Inserting 9770, traversed counter is 230
AVL Inserting 9770, traversed counter is 11
BST Inserting 9769, traversed counter is 231
AVL Inserting 9769, traversed counter is 57
BST Inserting 9768, traversed counter is 232
AVL Inserting 9768, traversed counter is 11
BST Inserting 9767, traversed counter is 233
AVL Inserting 9767, traversed counter is 17
BST Inserting 9766, traversed counter is 234
AVL Inserting 9766, traversed counter is 11
BST Inserting 9765, traversed counter is 235
AVL Inserting 9765, traversed counter is 30
BST Inserting 9764, traversed counter is 236
AVL Inserting 9764, traversed counter is 11
BST Inserting 9763, traversed counter is 237
AVL Inserting 9763, traversed counter is 17
BST Inserting 9762, traversed counter is 238
AVL Inserting 9762, traversed counter is 11
BST Inserting 9761, traversed counter is 239
AVL Inserting 9761, traversed counter is 112
BST Inserting 9760, traversed counter is 240
AVL Inserting 9760, traversed counter is 11
BST Inserting 9759, traversed counter is 241
AVL Inserting 9759, traversed counter is 17
BST Inserting 9758, traversed counter is 242
AVL Inserting 9758, traversed counter is 11
BST Inserting 9757, traversed counter is 243
AVL Inserting 9757, traversed counter is 30
BST Inserting 9756, traversed counter is 244
AVL Inserting 9756, traversed counter is 11
BST Inserting 9755, traversed counter is 245
AVL Inserting 9755, traversed counter is 17
BST Inserting 9754, traversed counter is 246
AVL Inserting 9754, traversed counter is 11
BST Inserting 9753, traversed counter is 247
AVL Inserting 9753, traversed counter is 57
BST Inserting 9752, traversed counter is 248
AVL Inserting 9752, traversed counter is 11
BST Inserting 9751, traversed counter is 249
AVL Inserting 9751, traversed counter is 17
BST Inserting 9750, traversed counter is 250
AVL Inserting 9750, traversed counter is 11
BST Inserting 9749, traversed counter is 251
AVL Inserting 9749, traversed counter is 30
BST Inserting 9748, traversed counter is 252
AVL Inserting 9748, traversed counter is 11
BST Inserting 9747, traversed counter is 253
AVL Inserting 9747, traversed counter is 17
BST Inserting 9746, traversed counter is 254
AVL Inserting 9746, traversed counter is 11
BST Inserting 9745, traversed counter is 255
AVL Inserting 9745, traversed counter is 510
BST Inserting 9744, traversed counter is 256
AVL Inserting 9744, traversed counter is 12
BST Inserting 9743, traversed counter is 257
AVL Inserting 9743, traversed counter is 18
BST Inserting 9742, traversed counter is 258
AVL Inserting 9742, traversed counter is 12
BST Inserting 9741, traversed counter is 259
AVL Inserting 9741, traversed counter is 31
BST Inserting 9740, traversed counter is 260
AVL Inserting 9740, traversed counter is 12
BST Inserting 9739, traversed counter is 261
AVL Inserting 9739, traversed counter is 18
BST Inserting 9738, traversed counter is 262
AVL Inserting 9738, traversed counter is 12
BST Inserting 9737, traversed counter is 263
AVL Inserting 9737, traversed counter is 58
BST Inserting 9736, traversed counter is 264
AVL Inserting 9736, traversed counter is 12
BST Inserting 9735, traversed counter is 265
AVL Inserting 9735, traversed counter is 18
BST Inserting 9734, traversed counter is 266
AVL Inserting 9734, traversed counter is 12
BST Inserting 9733, traversed counter is 267
AVL Inserting 9733, traversed counter is 31
BST Inserting 9732, traversed counter is 268
AVL Inserting 9732, traversed counter is 12
BST Inserting 9731, traversed counter is 269
AVL Inserting 9731, traversed counter is 18
BST Inserting 9730, traversed counter is 270
AVL Inserting 9730, traversed counter is 12
BST Inserting 9729, traversed counter is 271
AVL Inserting 9729, traversed counter is 113
BST Inserting 9728, traversed counter is 272
AVL Inserting 9728, traversed counter is 12
BST Inserting 9727, traversed counter is 273
AVL Inserting 9727, traversed counter is 18
BST Inserting 9726, traversed counter is 274
AVL Inserting 9726, traversed counter is 12
BST Inserting 9725, traversed counter is 275
AVL Inserting 9725, traversed counter is 31
BST Inserting 9724, traversed counter is 276
AVL Inserting 9724, traversed counter is 12
BST Inserting 9723, traversed counter is 277
AVL Inserting 9723, traversed counter is 18
BST Inserting 9722, traversed counter is 278
AVL Inserting 9722, traversed counter is 12
BST Inserting 9721, traversed counter is 279
AVL Inserting 9721, traversed counter is 58
BST Inserting 9720, traversed counter is 280
AVL Inserting 9720, traversed counter is 12
BST Inserting 9719, traversed counter is 281
AVL Inserting 9719, traversed counter is 18
BST Inserting 9718, traversed counter is 282
AVL Inserting 9718, traversed counter is 12
BST Inserting 9717, traversed counter is 283
AVL Inserting 9717, traversed counter is 31
BST Inserting 9716, traversed counter is 284
AVL Inserting 9716, traversed counter is 12
BST Inserting 9715, traversed counter is 285
AVL Inserting 9715, traversed counter is 18
BST Inserting 9714, traversed counter is 286
AVL Inserting 9714, traversed counter is 12
BST Inserting 9713, traversed counter is 287
AVL Inserting 9713, traversed counter is 224
BST Inserting 9712, traversed counter is 288
AVL Inserting 9712, traversed counter is 12
BST Inserting 9711, traversed counter is 289
AVL Inserting 9711, traversed counter is 18
BST Inserting 9710, traversed counter is 290
AVL Inserting 9710, traversed counter is 12
BST Inserting 9709, traversed counter is 291
AVL Inserting 9709, traversed counter is 31
BST Inserting 9708, traversed counter is 292
AVL Inserting 9708, traversed counter is 12
BST Inserting 9707, traversed counter is 293
AVL Inserting 9707, traversed counter is 18
BST Inserting 9706, traversed counter is 294
AVL Inserting 9706, traversed counter is 12
BST Inserting 9705, traversed counter is 295
AVL Inserting 9705, traversed counter is 58
BST Inserting 9704, traversed counter is 296
AVL Inserting 9704, traversed counter is 12
BST Inserting 9703, traversed counter is 297
AVL Inserting 9703, traversed counter is 18
BST Inserting 9702, traversed counter is 298
AVL Inserting 9702, traversed counter is 12
BST Inserting 9701, traversed counter is 299
AVL Inserting 9701, traversed counter is 31
BST Inserting 9700, traversed counter is 300
AVL Inserting 9700, traversed counter is 12
BST Inserting 9699, traversed counter is 301
AVL Inserting 9699, traversed counter is 18
BST Inserting 9698, traversed counter is 302
AVL Inserting 9698, traversed counter is 12
BST Inserting 9697, traversed counter is 303
AVL Inserting 9697, traversed counter is 113
BST Inserting 9696, traversed counter is 304
AVL Inserting 9696, traversed counter is 12
BST Inserting 9695, traversed counter is 305
AVL Inserting 9695, traversed counter is 18
BST Inserting 9694, traversed counter is 306
AVL Inserting 9694, traversed counter is 12
BST Inserting 9693, traversed counter is 307
AVL Inserting 9693, traversed counter is 31
BST Inserting 9692, traversed counter is 308
AVL Inserting 9692, traversed counter is 12
BST Inserting 9691, traversed counter is 309
AVL Inserting 9691, traversed counter is 18
BST Inserting 9690, traversed counter is 310
AVL Inserting 9690, traversed counter is 12
BST Inserting 9689, traversed counter is 311
AVL Inserting 9689, traversed counter is 58
BST Inserting 9688, traversed counter is 312
AVL Inserting 9688, traversed counter is 12
BST Inserting 9687, traversed counter is 313
AVL Inserting 9687, traversed counter is 18
BST Inserting 9686, traversed counter is 314
AVL Inserting 9686, traversed counter is 12
BST Inserting 9685, traversed counter is 315
AVL Inserting 9685, traversed counter is 31
BST Inserting 9684, traversed counter is 316
AVL Inserting 9684, traversed counter is 12
BST Inserting 9683, traversed counter is 317
AVL Inserting 9683, traversed counter is 18
BST Inserting 9682, traversed counter is 318
AVL Inserting 9682, traversed counter is 12
BST Inserting 9681, traversed counter is 319
AVL Inserting 9681, traversed counter is 447
BST Inserting 9680, traversed counter is 320
AVL Inserting 9680, traversed counter is 12
BST Inserting 9679, traversed counter is 321
AVL Inserting 9679, traversed counter is 18
BST Inserting 9678, traversed counter is 322
AVL Inserting 9678, traversed counter is 12
BST Inserting 9677, traversed counter is 323
AVL Inserting 9677, traversed counter is 31
BST Inserting 9676, traversed counter is 324
AVL Inserting 9676, traversed counter is 12
BST Inserting 9675, traversed counter is 325
AVL Inserting 9675, traversed counter is 18
BST Inserting 9674, traversed counter is 326
AVL Inserting 9674, traversed counter is 12
BST Inserting 9673, traversed counter is 327
AVL Inserting 9673, traversed counter is 58
BST Inserting 9672, traversed counter is 328
AVL Inserting 9672, traversed counter is 12
BST Inserting 9671, traversed counter is 329
AVL Inserting 9671, traversed counter is 18
BST Inserting 9670, traversed counter is 330
AVL Inserting 9670, traversed counter is 12
BST Inserting 9669, traversed counter is 331
AVL Inserting 9669, traversed counter is 31
BST Inserting 9668, traversed counter is 332
AVL Inserting 9668, traversed counter is 12
BST Inserting 9667, traversed counter is 333
AVL Inserting 9667, traversed counter is 18
BST Inserting 9666, traversed counter is 334
AVL Inserting 9666, traversed counter is 12
BST Inserting 9665, traversed counter is 335
AVL Inserting 9665, traversed counter is 113
BST Inserting 9664, traversed counter is 336
AVL Inserting 9664, traversed counter is 12
BST Inserting 9663, traversed counter is 337
AVL Inserting 9663, traversed counter is 18
BST Inserting 9662, traversed counter is 338
AVL Inserting 9662, traversed counter is 12
BST Inserting 9661, traversed counter is 339
AVL Inserting 9661, traversed counter is 31
BST Inserting 9660, traversed counter is 340
AVL Inserting 9660, traversed counter is 12
BST Inserting 9659, traversed counter is 341
AVL Inserting 9659, traversed counter is 18
BST Inserting 9658, traversed counter is 342
AVL Inserting 9658, traversed counter is 12
BST Inserting 9657, traversed counter is 343
AVL Inserting 9657, traversed counter is 58
BST Inserting 9656, traversed counter is 344
AVL Inserting 9656, traversed counter is 12
BST Inserting 9655, traversed counter is 345
AVL Inserting 9655, traversed counter is 18
BST Inserting 9654, traversed counter is 346
AVL Inserting 9654, traversed counter is 12
BST Inserting 9653, traversed counter is 347
AVL Inserting 9653, traversed counter is 31
BST Inserting 9652, traversed counter is 348
AVL Inserting 9652, traversed counter is 12
BST Inserting 9651, traversed counter is 349
AVL Inserting 9651, traversed counter is 18
BST Inserting 9650, traversed counter is 350
AVL Inserting 9650, traversed counter is 12
BST Inserting 9649, traversed counter is 351
AVL Inserting 9649, traversed counter is 224
BST Inserting 9648, traversed counter is 352
AVL Inserting 9648, traversed counter is 12
BST Inserting 9647, traversed counter is 353
AVL Inserting 9647, traversed counter is 18
BST Inserting 9646, traversed counter is 354
AVL Inserting 9646, traversed counter is 12
BST Inserting 9645, traversed counter is 355
AVL Inserting 9645, traversed counter is 31
BST Inserting 9644, traversed counter is 356
AVL Inserting 9644, traversed counter is 12
BST Inserting 9643, traversed counter is 357
AVL Inserting 9643, traversed counter is 18
